Id,Identificador,Empaquetado,Cantidad,Identificación,Suministrador y ref
1,U1,SOIC-14_3.9x8.7mm_P1.27mm,1,74LS14,
8,"C1,C4",C_0805_2012Metric,2,100n,
9,D1,D_SOD-323F,1,1N4148,
10,D2,D_SOD-123,1,1N5819,
11,MIDI-1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,MIDI-IN,
12,MIDI-2,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,MIDI-THRU,
13,MIDI-3,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,MIDI-OUT,
16,OC1,DIP-6_W7.62mm_SMDSocket_SmallPads,1,H11L1,
17,R1,R_0805_2012Metric,1,100,
18,R2,R_0805_2012Metric,1,470,
19,R3,R_0805_2012Metric,1,1K,
20,R10,R_0805_2012Metric,1,10K,
21,RBPi-1,PinHeader_2x20_P2.54mm_Vertical,1,RBPi GPIO,
23,R4,R_0805_2012Metric,1,330,
24,R5,R_0805_2012Metric,1,10,
25,R6,R_0805_2012Metric,1,33,
26,"R7,R8,R9",R_0805_2012Metric,3,220,
